Time (s);Ax (m/s²);Ay (m/s²);Az (m/s²)
8.1725813953;-0.0342275088;10.3052581519;1.2774249150
8.1825116279;-0.0821852437;10.2762402645;1.3783547367
8.1924418605;-0.0869810171;10.2810765791;1.4216103746
8.2023720930;-0.1205514315;10.2762402645;1.3831609187
8.2123023256;-0.1397345255;10.2907492082;1.2822310970
8.2222325581;-0.1253472050;10.3246034102;1.0707590896
8.2321627907;-0.1061641111;10.3729665558;0.8400623543
8.2420930233;-0.0917767906;10.4261660160;0.5805285271
8.2520232558;-0.0917767906;10.5132196781;0.2777390620
8.2619534884;-0.0534106027;10.6292912276;-0.0586936770
8.2718837209;-0.0246359618;10.7066722606;-0.3422584141
8.2818139535;-0.0102486414;10.7211812043;-0.6017922413
8.2917441860;0.0185259995;10.7115085752;-0.8421013406
8.3016744186;0.0377090935;10.6679817441;-0.9958991642
8.3116046512;0.0616879609;10.5954370257;-1.1448908057
8.3215348837;0.0616879609;10.5374012509;-1.1208598958
8.3314651163;0.0616879609;10.4890381053;-1.0391548020
8.3413953488;0.0520964139;10.4503475888;-0.9430311623
8.3513255814;0.0233217730;10.4164933868;-0.7363653369
8.3612558140;0.0041386791;10.4019844432;-0.5200871476
8.3711860465;-0.0294317353;10.3100944665;-0.2701656843
8.3811162791;-0.0630021497;10.2133681752;-0.0394689490
8.3910465116;-0.1013683376;10.0779513674;0.2344834241
8.4009767442;-0.1301429785;9.9376982451;0.4315368856
8.4109069767;-0.1972838073;9.7442456626;0.5997532550
8.4208372093;-0.2356499952;9.7539182917;0.7295201687
8.4307674419;-0.2692204096;9.7877724937;0.7920005345
8.4406976744;-0.3075865975;9.5507930801;0.7871943525
8.4506279070;-0.3747274263;9.3186499811;0.7295201687
8.4605581395;-0.3987062937;9.2944684083;0.6478150749
8.4704883721;-0.4130936141;9.4492304743;0.4940172514
8.4804186047;-0.4562555755;9.5653020238;0.3113823359
8.4903488372;-0.4754386694;9.4734120471;0.0710732366
8.5002790698;-0.4514598020;9.3428315539;-0.1692358626
8.5102093023;-0.4754386694;9.3525041830;-0.3759016880
8.5201395349;-0.4706428960;9.4395578451;-0.6065984233
8.5300697674;-0.4466640285;9.4637394180;-0.8228766127
8.5400000000;-0.4226851611;9.3138136665;-0.9814806182
8.5499302326;-0.3987062937;9.2267600044;-1.0920228039
8.5598604651;-0.3843189732;9.2364326335;-1.1593093517
