Time (s);ωx (rad/s);ωy (rad/s);ωz (rad/s)
2.5550151240;-0.3424607196;0.9045411826;0.3864378019
2.5653176044;-0.6209883270;0.8971792194;0.4183396423
2.5756200847;-0.8762030509;0.8922712440;0.4220206239
2.5859225650;-1.0774300448;0.8812282992;0.4011617282
2.5962250454;-1.2271232963;0.8800013053;0.3643519123
2.6065275257;-1.2958349528;0.8800013053;0.3140451638
2.6168300060;-1.2811110264;0.8726393421;0.2612844276
2.6271324864;-1.1743625601;0.8726393421;0.2171126485
2.6374349667;-0.9768165478;0.8677313667;0.1803028325
2.6477374471;-0.7068778975;0.8652773789;0.1692598877
2.6580399274;-0.3768165478;0.8603694035;0.1901187834
2.6683424077;-0.0173073454;0.8542344341;0.2269285994
2.6786448881;0.3630607528;0.8444184832;0.2919592742
2.6889473684;0.7471098325;0.8444184832;0.3839838141
2.6992498488;1.1225699552;0.8444184832;0.5140451638
2.7095523291;1.4685822252;0.8358295262;0.6821433233
2.7198548094;1.7667417344;0.8370565200;0.8772353479
2.7301572898;1.9876006301;0.8358295262;1.0980942436
2.7404597701;2.1078460288;0.8468724710;1.3238611147
2.7507622505;2.1237969491;0.8542344341;1.5496279859
2.7610647308;2.0415883601;0.8689583605;1.7594439368
2.7713672111;1.8661282374;0.8775473176;1.9336770657
2.7816696915;1.6109135135;0.8922712440;2.0735543663
2.7919721718;1.3041650472;0.9020871949;2.1741678632
2.8022746521;0.9495638203;0.9131301397;2.2367445503
2.8125771325;0.5900546178;0.9143571335;2.2502414828
2.8228796128;0.2354533908;0.9119031458;2.2195666362
2.8331820932;-0.0700680816;0.9106761519;2.1618979246
2.8434845735;-0.3203748301;0.9008602010;2.0625114215
2.8537870538;-0.4921539712;0.8996332072;1.9373580473
2.8640895342;-0.5571846460;0.8934982378;1.7987077405
2.8743920145;-0.5191478362;0.8959522256;1.6563764522
2.8846944949;-0.3780435417;0.8885902624;1.5177261454
2.8949969752;-0.1510496767;0.8861362746;1.3937997650
2.9052994555;0.1336129000;0.8861362746;1.2993212374
2.9156019359;0.4673552313;0.8861362746;1.2306095810
2.9259044162;0.8219564583;0.8947252317;1.1999347344
2.9362068966;1.1642877466;0.8996332072;1.1950267589
2.9465093769;1.4759441884;0.9106761519;1.2220206239
2.9568118572;1.7201159675;0.9217190967;1.2760083540
2.9671143376;1.8869871331;0.9376700170;1.3484009920
2.9774168179;1.9593797712;0.9511669495;1.4306095810
2.9877192982;1.9274779307;0.9695718575;1.5164991515
2.9980217786;1.8010975626;0.9855227777;1.5913457773
3.0083242589;1.5826926546;0.9990197102;1.6477874951
3.0186267393;1.2943490963;1.0100626550;1.6833703172
3.0289292196;0.9679687282;1.0235595875;1.6919592742
3.0392316999;0.5961895871;1.0321485446;1.6588304399
3.0495341803;0.2268644338;1.0333755384;1.6036157160
3.0598366606;-0.1228288178;1.0395105078;1.5054562068
3.0701391410;-0.4443012104;1.0419644955;1.3741678632
3.0804416213;-0.7056509037;1.0382835139;1.2048427098
3.0907441016;-0.9068778975;1.0395105078;1.0183396423
3.1010465820;-1.0320312718;1.0419644955;0.8146586607
3.1113490623;-1.0590251368;1.0419644955;0.6023887221
3.1216515426;-1.0087183883;1.0431914894;0.3901187834
3.1319540230;-0.8700680816;1.0493264587;0.1729408693
3.1422565033;-0.6676140939;1.0566884219;-0.0135621981
3.1525589837;-0.4123993699;1.0652773789;-0.1816603577
3.1628614640;-0.1301907810;1.0738663360;-0.3387155724
3.1731639443;0.1655147405;1.0714123483;-0.4761388853
3.1834664247;0.4734902006;1.0750933299;-0.5841143454
3.1937689050;0.7655147405;1.0787743114;-0.6675499282
3.2040713854;1.0084595258;1.0738663360;-0.7301266153
3.2143738657;1.2023245565;1.0726393421;-0.7706174129
3.2246763460;1.3213429614;1.0665043728;-0.7927033024
3.2349788264;1.3655147405;1.0517804464;-0.8012922595
3.2452813067;1.3176619798;1.0419644955;-0.8000652656
3.2555837871;1.1937355994;1.0370565200;-0.8025192534
3.2658862674;0.9912816117;1.0309215507;-0.8086542227
3.2761887477;0.7336129000;1.0284675630;-0.8221511552
3.2864912281;0.4477233295;1.0198786059;-0.8577339773
3.2967937084;0.1311589123;1.0174246182;-0.9129487012
3.3070961887;-0.1866324988;1.0211055998;-0.9804333638
3.3173986691;-0.4958349528;1.0260135753;-1.0724579037
3.3277011494;-0.7645466092;1.0296945568;-1.1804333638
3.3380036298;-0.9743625601;1.0419644955;-1.3117217073
3.3483061101;-1.1068778975;1.0554614280;-1.4528260018
3.3586085904;-1.1510496767;1.0701853544;-1.6062002350
3.3689110708;-1.0982889405;1.0922712440;-1.7595744681
3.3792135511;-0.9400067319;1.1094491581;-1.9043597442
3.3895160315;-0.7068778975;1.1254000783;-2.0331941000
3.3998185118;-0.4038104129;1.1376700170;-2.1276726276
3.4101209921;-0.0577981429;1.1499399556;-2.2049732411
3.4204234725;0.3017110595;1.1450319802;-2.2491450202
3.4307259528;0.6698092190;1.1401240047;-2.2589609712
3.4410284332;1.0133675012;1.1290810599;-2.2405560632
3.4513309135;1.3029380534;1.1057681765;-2.1877953270
3.4616333938;1.5127540043;1.0812282992;-2.1190836705
3.4719358742;1.6329994031;1.0554614280;-2.0270591307
3.4822383545;1.6563122865;1.0296945568;-1.9276726276
3.4925408348;1.5728767037;1.0125166427;-1.8172431797
3.5028433152;1.3949625933;0.9892037593;-1.7117217073
3.5131457955;1.1422018571;0.9695718575;-1.6135621981
3.5234482759;0.8379073785;0.9609829004;-1.5227646521
3.5337507562;0.5017110595;0.9499399556;-1.4528260018
3.5440532365;0.1544717957;0.9438049863;-1.3988382718
