Time (s);Pressure (kPa)
4.4209739201;101.5048318035;18.2710280374
4.4309535452;101.8619463963;18.6448598131
4.4409331703;101.9065607363;18.8317757009
4.4509127954;102.0853273132;18.4579439252
4.4608924205;101.8173320564;18.4579439252
4.4708720456;101.8173320564;18.4579439252
4.4808516707;101.7278940960;18.6448598131
4.4908312958;101.6833344280;18.4579439252
4.5008109209;101.8619463963;18.6448598131
4.5107905460;101.7278940960;18.6448598131
4.5207701711;101.7278940960;18.6448598131
4.5307497963;101.7278940960;18.6448598131
4.5407294214;101.8173320564;18.4579439252
4.5507090465;101.9959986967;18.6448598131
4.5606886716;101.7278940960;18.6448598131
4.5706682967;101.8173320564;18.4579439252
4.5806479218;101.7278940960;18.6448598131
4.5906275469;101.7278940960;18.6448598131
4.6006071720;101.7278940960;18.6448598131
4.6105867971;101.7727177164;18.2710280374
4.6205664222;101.8619463963;18.6448598131
4.6305460473;101.7278940960;18.6448598131
4.6405256724;101.6833344280;18.4579439252
4.6505052975;101.6833344280;18.4579439252
4.6604849226;101.8619463963;18.6448598131
4.6704645477;101.6387747600;18.2710280374
4.6804441728;101.6833344280;18.4579439252
4.6904237979;101.8619463963;18.6448598131
4.7004034230;101.6833344280;18.4579439252
4.7103830481;101.8619463963;18.6448598131
4.7203626732;101.9959986967;18.6448598131
4.7303422983;101.8619463963;18.6448598131
4.7403219234;101.6383467916;18.8317757009
4.7503015485;101.7724537640;18.8317757009
4.7602811736;101.6833344280;18.4579439252
4.7702607987;101.7278940960;18.6448598131
4.7802404238;101.9065607363;18.8317757009
4.7902200489;101.6833344280;18.4579439252
4.8001996740;101.8619463963;18.6448598131
4.8101792991;101.9959986967;18.6448598131
4.8201589242;101.8173320564;18.4579439252
4.8301385493;101.5942150920;18.0841121495
4.8401181744;101.6833344280;18.4579439252
4.8500977995;101.7724537640;18.8317757009
4.8600774246;101.8173320564;18.4579439252
4.8700570497;101.6387747600;18.2710280374
4.8800366748;101.7278940960;18.6448598131
4.8900162999;101.8619463963;18.6448598131
4.8999959250;101.8173320564;18.4579439252
4.9099755501;101.6833344280;18.4579439252
4.9199551752;101.8619463963;18.6448598131
4.9299348003;102.0853273132;18.4579439252
4.9399144254;101.7278940960;18.6448598131
4.9498940505;101.8173320564;18.4579439252
4.9598736756;101.6833344280;18.4579439252
4.9698533007;101.9513296848;18.4579439252
4.9798329258;101.9513296848;18.4579439252
4.9898125509;101.7278940960;18.6448598131
4.9997921760;101.6833344280;18.4579439252
5.0097718011;102.1300509971;18.6448598131
5.0197514262;101.6834890365;17.8971962617
5.0297310513;101.7727177164;18.2710280374
5.0397106764;101.5938417956;18.6448598131
5.0496903015;101.6833344280;18.4579439252
5.0596699267;101.8619463963;18.6448598131
5.0696495518;101.8170134320;19.0186915888
5.0796291769;101.8173320564;18.4579439252
5.0896088020;101.6387747600;18.2710280374
5.0995884271;101.5493367995;18.4579439252
5.1095680522;101.9513296848;18.4579439252
5.1195476773;101.9065607363;18.8317757009
5.1295273024;101.8173320564;18.4579439252
5.1395069275;101.6833344280;18.4579439252
5.1494865526;101.8170134320;19.0186915888
5.1594661777;101.6833344280;18.4579439252
5.1694458028;101.6833344280;18.4579439252
5.1794254279;101.8619463963;18.6448598131
5.1894050530;101.9959986967;18.6448598131
5.1993846781;101.8173320564;18.4579439252
5.2093643032;101.9959986967;18.6448598131
5.2193439283;101.7278940960;18.6448598131
5.2293235534;101.6387747600;18.2710280374
5.2393031785;101.8619463963;18.6448598131
5.2492828036;101.9959986967;18.6448598131
5.2592624287;101.6833344280;18.4579439252
5.2692420538;101.9065607363;18.8317757009
5.2792216789;101.8619463963;18.6448598131
5.2892013040;101.8173320564;18.4579439252
5.2991809291;101.8619463963;18.6448598131
5.3091605542;101.9959986967;18.6448598131
5.3191401793;101.7278940960;18.6448598131
5.3291198044;101.5942150920;18.0841121495
5.3390994295;101.9065607363;18.8317757009
5.3490790546;101.6833344280;18.4579439252
5.3590586797;101.7278940960;18.6448598131
5.3690383048;101.6833344280;18.4579439252
5.3790179299;101.7278940960;18.6448598131
5.3889975550;101.6833344280;18.4579439252
5.3989771801;101.8619463963;18.6448598131
5.4089568052;101.5493367995;18.4579439252
5.4189364303;101.5938417956;18.6448598131
5.4289160554;101.6833344280;18.4579439252
5.4388956805;101.8619463963;18.6448598131
5.4488753056;101.6387747600;18.2710280374
5.4588549307;101.6383467916;18.8317757009
5.4688345558;101.5938417956;18.6448598131
5.4788141809;101.8619463963;18.6448598131
5.4887938060;101.7724537640;18.8317757009
5.4987734311;101.7724537640;18.8317757009
5.5087530562;101.8173320564;18.4579439252
5.5187326813;101.8619463963;18.6448598131
5.5287123064;101.8619463963;18.6448598131
5.5386919315;101.8619463963;18.6448598131
5.5486715566;101.7278940960;18.6448598131
5.5586511817;101.9065607363;18.8317757009
5.5686308068;101.8619463963;18.6448598131
