Time (s);Bx (µT);By (µT);Bz (µT)
11.7019725434;-47.2125422922;-1928.8278321951;-15.6110724265
11.7142774566;-46.6814204299;-1928.0562029268;-15.3315661498
11.7265823699;-46.8584610507;-1927.2845736585;-17.5676163630
11.7388872832;-47.3895829130;-1927.2845736585;-16.4495912564
11.7511921965;-47.5666235338;-1926.9759219512;-14.9123067349
11.7634971098;-48.6288672584;-1925.7413151220;-19.2446540228
11.7758020231;-49.5140703622;-1924.6610341463;-17.9868757779
11.7881069364;-50.5763140869;-1923.8894048781;-16.3098381181
11.8004118497;-51.1074359492;-1922.9634497561;-17.1483569480
11.8127167630;-50.5763140869;-1923.4264273171;-20.5024322677
11.8250216763;-51.1074359492;-1923.8894048781;-18.1266289162
11.8373265896;-50.7533547076;-1922.5004721951;-20.6421854060
11.8496315029;-51.2844765699;-1922.1918204878;-18.8253946079
11.8619364162;-52.1696796738;-1921.7288429268;-19.6639134378
11.8742413295;-53.0548827776;-1921.7288429268;-16.1700849798
11.8865462428;-52.5237609153;-1920.9572136585;-16.7290975330
11.8988511561;-52.8778421569;-1919.7226068293;-17.5676163630
11.9111560694;-53.4089640192;-1920.8028878049;-16.5893443947
11.9234609827;-52.8778421569;-1920.4942360976;-15.8905787031
11.9357658960;-53.0548827776;-1919.5682809756;-17.1483569480
11.9480708092;-53.5860046400;-1918.6423258537;-14.6328004582
11.9603757225;-54.1171265023;-1919.2596292683;-17.4278632246
11.9726806358;-53.2319233984;-1919.1053034146;-15.6110724265
11.9849855491;-53.5860046400;-1919.1053034146;-15.6110724265
11.9972904624;-53.4089640192;-1920.3399102439;-17.2881100863
12.0095953757;-53.2319233984;-1918.4880000000;-15.4713192881
12.0219002890;-53.4089640192;-1919.5682809756;-12.2569971068
12.0342052023;-52.7008015361;-1919.1053034146;-14.9123067349
12.0465101156;-53.4089640192;-1917.5620448781;-15.3315661498
12.0588150289;-53.2319233984;-1919.8769326829;-14.4930473199
12.0711199422;-52.3467202946;-1920.1855843902;-12.3967502451
12.0834248555;-53.2319233984;-1919.2596292683;-13.5147753516
12.0957297688;-52.8778421569;-1920.1855843902;-12.8160096600
12.1080346821;-52.8778421569;-1920.8028878049;-13.2352690750
12.1203395954;-51.4615171907;-1920.9572136585;-12.5365033834
12.1326445087;-51.2844765699;-1921.7288429268;-10.9992188619
12.1449494220;-51.4615171907;-1921.1115395122;-12.1172439684
12.1572543353;-50.9303953284;-1921.8831687805;-9.6016874787
12.1695592486;-50.0451922245;-1921.2658653659;-10.1607000319
12.1818641618;-49.6911109830;-1922.9634497561;-9.8811937553
12.1941690751;-49.6911109830;-1923.1177756098;-9.0426749254
12.2064739884;-48.9829484999;-1922.9634497561;-8.2041560954
12.2187789017;-48.9829484999;-1923.5807531707;-7.9246498188
12.2310838150;-48.6288672584;-1923.8894048781;-9.4619343403
12.2433887283;-47.5666235338;-1925.7413151220;-7.3656372655
12.2556936416;-47.0355016715;-1926.5129443902;-7.7848966805
12.2679985549;-46.8584610507;-1927.9018770732;-4.2910682225
12.2803034682;-46.3273391884;-1927.5932253659;-4.9898339141
12.2926083815;-45.4421360845;-1928.8278321951;-6.3873652973
12.3049132948;-44.9110142222;-1928.0562029268;-5.9681058823
12.3172182081;-44.7339736014;-1930.0624390244;-4.0115619458
12.3295231214;-42.7865267730;-1929.4451356098;-4.4308213608
12.3418280347;-42.6094861522;-1930.0624390244;-4.4308213608
12.3541329480;-41.9013236691;-1930.0624390244;-3.1730431159
12.3664378613;-40.3079580822;-1930.9883941463;-3.8718088075
12.3787427746;-40.1309174614;-1930.2167648781;-2.4742774243
